資料年月,縣市,燃料別,車種類別,數量
201807,臺北市,汽油/LPG,大客車,0
201807,臺北市,汽油/LPG,大貨車,0
201807,臺北市,汽油/LPG,小客車,0
201807,臺北市,汽油/LPG,小貨車,0
201807,臺北市,汽油/LPG,特種車,0
201807,臺北市,汽油/LPG,機車重型,0
201807,臺北市,汽油/LPG,機車輕型,0
201807,臺北市,汽油/電能,大客車,0
201807,臺北市,汽油/電能,大貨車,0
201807,臺北市,汽油/電能,小客車,33
201807,臺北市,汽油/電能,小貨車,0
201807,臺北市,汽油/電能,特種車,1
201807,臺北市,汽油/電能,機車重型,0
201807,臺北市,汽油/電能,機車輕型,0
201807,臺北市,柴油,大客車,11
201807,臺北市,柴油,大貨車,59
201807,臺北市,柴油,小客車,365
201807,臺北市,柴油,小貨車,316
201807,臺北市,柴油,特種車,44
201807,臺北市,柴油,機車重型,0
201807,臺北市,柴油,機車輕型,0
201807,臺北市,柴油(油電),大客車,0
201807,臺北市,柴油(油電),大貨車,0
201807,臺北市,柴油(油電),小客車,0
201807,臺北市,柴油(油電),小貨車,0
201807,臺北市,柴油(油電),特種車,0
201807,臺北市,柴油(油電),機車重型,0
201807,臺北市,柴油(油電),機車輕型,0
201807,臺北市,柴油/電能,大客車,0
201807,臺北市,柴油/電能,大貨車,0
201807,臺北市,柴油/電能,小客車,0
201807,臺北市,柴油/電能,小貨車,0
201807,臺北市,柴油/電能,特種車,0
201807,臺北市,柴油/電能,機車重型,0
201807,臺北市,柴油/電能,機車輕型,0
201807,臺北市,液化石油氣,大客車,0
201807,臺北市,液化石油氣,大貨車,0
201807,臺北市,液化石油氣,小客車,0
201807,臺北市,液化石油氣,小貨車,0
201807,臺北市,液化石油氣,特種車,0
201807,臺北市,液化石油氣,機車重型,0
201807,臺北市,液化石油氣,機車輕型,0
201807,臺北市,電能,大客車,0
201807,臺北市,電能,大貨車,0
201807,臺北市,電能,小客車,11
201807,臺北市,電能,小貨車,0
201807,臺北市,電能,特種車,0
201807,臺北市,電能,機車重型,367
201807,臺北市,電能,機車輕型,332
201807,臺北市,電能(增程),大客車,0
201807,臺北市,電能(增程),大貨車,0
201807,臺北市,電能(增程),小客車,0
201807,臺北市,電能(增程),小貨車,0
201807,臺北市,電能(增程),特種車,0
201807,臺北市,電能(增程),機車重型,0
201807,臺北市,電能(增程),機車輕型,0
201807,臺北市,電能/汽油,大客車,0
201807,臺北市,電能/汽油,大貨車,0
201807,臺北市,電能/汽油,小客車,4
201807,臺北市,電能/汽油,小貨車,0
201807,臺北市,電能/汽油,特種車,0
201807,臺北市,電能/汽油,機車重型,0
201807,臺北市,電能/汽油,機車輕型,0
201807,臺北市,電能/柴油,大客車,0
201807,臺北市,電能/柴油,大貨車,0
201807,臺北市,電能/柴油,小客車,0
201807,臺北市,電能/柴油,小貨車,0
201807,臺北市,電能/柴油,特種車,0
201807,臺北市,電能/柴油,機車重型,0
201807,臺北市,電能/柴油,機車輕型,0
201807,臺北市,總計,大客車,11
201807,臺北市,總計,大貨車,59
201807,臺北市,總計,小客車,6352
201807,臺北市,總計,小貨車,603
201807,臺北市,總計,特種車,63
201807,臺北市,總計,機車重型,4602
201807,臺北市,總計,機車輕型,333
201808,臺北市,汽油,大客車,0
201808,臺北市,汽油,大貨車,0
201808,臺北市,汽油,小客車,3482
201808,臺北市,汽油,小貨車,211
201808,臺北市,汽油,特種車,102
201808,臺北市,汽油,機車重型,4536
201808,臺北市,汽油,機車輕型,0
201808,臺北市,汽油(油電),大客車,0
201808,臺北市,汽油(油電),大貨車,0
201808,臺北市,汽油(油電),小客車,81
201808,臺北市,汽油(油電),小貨車,0
201808,臺北市,汽油(油電),特種車,0
201808,臺北市,汽油(油電),機車重型,0
201808,臺北市,汽油(油電),機車輕型,0
201808,臺北市,汽油/LPG,大客車,0
201808,臺北市,汽油/LPG,大貨車,0
201808,臺北市,汽油/LPG,小客車,0
201808,臺北市,汽油/LPG,小貨車,0
201808,臺北市,汽油/LPG,特種車,0
201808,臺北市,汽油/LPG,機車重型,0
201808,臺北市,汽油/LPG,機車輕型,0
201808,臺北市,汽油/電能,大客車,0
201808,臺北市,汽油/電能,大貨車,0
201808,臺北市,汽油/電能,小客車,12
201808,臺北市,汽油/電能,小貨車,0
201808,臺北市,汽油/電能,特種車,0
201808,臺北市,汽油/電能,機車重型,0
201808,臺北市,汽油/電能,機車輕型,0
201808,臺北市,柴油,大客車,37
201808,臺北市,柴油,大貨車,59
201808,臺北市,柴油,小客車,247
201808,臺北市,柴油,小貨車,270
201808,臺北市,柴油,特種車,17
